dashboard_row_id,report_date,platform,campaign_id,campaign_name,state,city,device_type,impressions,clicks,conversions,spend_inr
DSH0020,2026-02-28,YouTube Ads,IN_YO_1038,Back to College | Travel | West Bengal | Display,West Bengal,Durgapur,Mobile,72068,3853,213,100182.24
DSH0021,2026-01-24,Google Ads,IN_EXTRA_2013,Back to College | Grocery | Kerala | Video | Extra in Dashboard,Kerala,Kochi,Tablet,118373,4092,233,53784.3
DSH0022,2026-01-31,DV360,IN_DV_1075,Festive Cashback | Beauty | Karnataka | Search,Karnataka,Mysuru,Desktop,163170,5158,436,61776.11
DSH0023,2026-02-10,Meta Ads,IN_ME_1010,Monsoon Deals | Travel | Delhi NCR | Video,Delhi NCR,Faridabad,Desktop,17789,500,44,22684.44
DSH0024,2026-01-10,LinkedIn Ads,IN_LI_1048,IPL Promo | Fashion | Tamil Nadu | Video,Tamil Nadu,Madurai,Mobile,89707,1231,94,40249.89
DSH0025,2026-03-20,LinkedIn Ads,IN_LI_1071,Holi Offer | Fashion | Maharashtra | Video,Maharashtra,Nagpur,Mobile,55749,1078,62,35876.82
DSH0026,2026-01-27,YouTube Ads,IN_YO_1055,IPL Promo | EdTech | Uttar Pradesh | Search,Uttar Pradesh,Agra,Tablet,232408,4545,37,161354.08
DSH0027,2026-03-23,YouTube Ads,IN_YO_1010,Wedding Season | Beauty | Telangana | Display,Telangana,Karimnagar,Mobile,246501,9825,198,49077.52
DSH0028,2026-02-17,LinkedIn Ads,IN_LI_1006,New Year | Fashion | Uttar Pradesh | Search,Uttar Pradesh,Kanpur,Desktop,108797,1772,50,13761.24
DSH0029,2026-03-13,DV360,IN_DV_1004,Monsoon Deals | Fashion | Kerala | Social,Kerala,Kozhikode,Desktop,62018,2610,91,109956.32
DSH0030,2026-03-27,Meta Ads,IN_ME_1026,Holi Offer | Home Appliances | Delhi NCR | Search,Delhi NCR,Gurugram,Mobile,229063,11683,428,438723.05
DSH0031,2026-01-31,Meta Ads,IN_ME_1045,New Year | Grocery | Maharashtra | Video,Maharashtra,Pune,Desktop,183160,5670,361,218362.69
DSH0032,2026-02-12,Google Ads,IN_GO_1077,Monsoon Deals | Beauty | Karnataka | Video,Karnataka,Mangaluru,Mobile,128918,2957,214,63901.79
DSH0033,2026-03-07,Google Ads,IN_GO_1067,Summer Savings | Grocery | West Bengal | Search,West Bengal,Durgapur,Mobile,226421,7332,491,251421.09
DSH0034,2026-03-27,Meta Ads,IN_ME_1016,Holi Offer | Travel | Gujarat | Video,Gujarat,Rajkot,Tablet,203679,10204,505,318120.47
DSH0035,2026-02-11,DV360,IN_DV_1073,Summer Savings | Home Appliances | Delhi NCR | Display,Delhi NCR,Gurugram,Tablet,93892,2431,185,39165.38
DSH0036,2026-01-27,DV360,IN_DV_1028,Republic Day | Home Appliances | Kerala | Display,Kerala,Kozhikode,Tablet,149001,4348,356,158854.3
DSH0037,2026-01-14,LinkedIn Ads,IN_LI_1063,Back to College | Grocery | Karnataka | Display,Karnataka,Mangaluru,Desktop,164952,5911,65,88249.38
DSH0038,2026-01-10,DV360,IN_DV_1032,Festive Cashback | Fashion | West Bengal | Display,West Bengal,Durgapur,Desktop,53684,2047,17,70959.31
DSH0039,2026-01-14,DV360,IN_DV_1059,Back to College | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Chennai,Mobile,49954,2261,141,100608.93
DSH0040,2026-03-18,YouTube Ads,IN_YO_1061,Back to College | Home Appliances | Rajasthan | Programmatic,Rajasthan,Jodhpur,Mobile,132983,2486,70,74487.89
DSH0041,2026-03-08,DV360,IN_DV_1043,Wedding Season | Electronics | Tamil Nadu | Video,Tamil Nadu,Coimbatore,Desktop,98809,4916,71,47977.57
DSH0042,2026-02-19,Meta Ads,IN_ME_1008,New Year | Home Appliances | Tamil Nadu | Video,Tamil Nadu,Chennai,Desktop,69220,3240,129,114846.74
DSH0043,2026-03-31,Google Ads,IN_GO_1054,Wedding Season | Electronics | Kerala | Video,Kerala,Thiruvananthapuram,Desktop,156091,6653,351,189843.24
DSH0044,2026-01-29,DV360,IN_DV_1052,New Year | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Coimbatore,Desktop,204839,2885,133,25378.06
DSH0045,2026-03-21,LinkedIn Ads,IN_LI_1055,Festive Cashback | Beauty | Maharashtra | Search,Maharashtra,Nashik,Tablet,50066,2475,56,36091.91
DSH0046,2026-02-11,Meta Ads,IN_ME_1033,Republic Day | EdTech | Rajasthan | Display,Rajasthan,Udaipur,Desktop,233866,2341,22,60598.87
DSH0047,2026-02-14,Meta Ads,IN_ME_1020,Diwali Sale | Fashion | Karnataka | Social,Karnataka,Bengaluru,Tablet,77533,944,59,25398.07
DSH0048,2026-01-28,DV360,IN_DV_1040,Monsoon Deals | Beauty | Delhi NCR | Programmatic,Delhi NCR,Noida,Mobile,43337,1488,125,40764.6
DSH0049,2026-02-18,DV360,IN_DV_1039,Festive Cashback | Travel | Tamil Nadu | Social,Tamil Nadu,Chennai,Tablet,237899,9403,696,343617.87
DSH0050,2026-03-14,Google Ads,IN_GO_1054,Republic Day | Electronics | Gujarat | Programmatic,Gujarat,Rajkot,Mobile,230569,6921,301,128251.69
DSH0051,2026-02-28,Meta Ads,IN_ME_1056,Back to College | Travel | West Bengal | Video,West Bengal,Kolkata,Desktop,229146,9775,290,394790.93
DSH0052,2026-01-12,YouTube Ads,IN_YO_1004,Wedding Season | Beauty | Rajasthan | Programmatic,Rajasthan,Jaipur,Desktop,144579,6895,157,84829.0
DSH0053,2026-01-21,DV360,,Monsoon Deals | Fashion | Gujarat | Video,Gujarat,Vadodara,Mobile,41160,931,34,13355.16
DSH0054,2026-03-02,DV360,IN_DV_1032,Holi Offer | Grocery | Rajasthan | Social,Rajasthan,Jaipur,Tablet,95270,3671,140,97168.17
DSH0055,2026-02-14,DV360,IN_DV_1033,Republic Day | Travel | Uttar Pradesh | Display,Uttar Pradesh,Varanasi,Desktop,75434,898,21,7598.45
DSH0056,2026-03-10,Meta Ads,IN_ME_1025,Wedding Season | Grocery | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,92659,1588,36,6490.41
DSH0057,2026-03-11,Meta Ads,IN_ME_1063,Diwali Sale | Beauty | Delhi NCR | Video,Delhi NCR,New Delhi,Tablet,41892,2042,112,46925.11
DSH0058,2026-02-23,Meta Ads,IN_EXTRA_2009,Summer Savings | Electronics | Rajasthan | Search | Extra in Dashboard,Rajasthan,Jodhpur,Tablet,110233,1620,112,11342.83
DSH0059,2026-01-20,LinkedIn Ads,IN_LI_1077,Summer Savings | Electronics | Delhi NCR | Programmatic,Delhi NCR,New Delhi,Tablet,222287,8069,577,155616.22
DSH0060,2026-02-16,Meta Ads,IN_EXTRA_2017,Back to College | EdTech | Rajasthan | Video | Extra in Dashboard,Rajasthan,Jodhpur,Mobile,32571,972,6,28612.98
DSH0061,2026-01-21,Meta Ads,IN_ME_1077,Holi Offer | Fashion | Telangana | Search,Telangana,Karimnagar,Desktop,138184,2801,75,91981.11
DSH0062,2026-03-31,DV360,IN_DV_1015,IPL Promo | EdTech | Karnataka | Programmatic,Karnataka,Mysuru,Desktop,157753,2684,54,38981.74
DSH0063,2026-01-19,Google Ads,IN_GO_1016,IPL Promo | Beauty | Maharashtra | Programmatic,Maharashtra,Pune,Desktop,137866,5479,358,233520.81
DSH0064,2026-03-06,LinkedIn Ads,IN_LI_1042,Holi Offer | Beauty | Rajasthan | Search,Rajasthan,Udaipur,Tablet,173259,3165,49,137422.12
DSH0065,2026-03-15,LinkedIn Ads,IN_LI_1057,Festive Cashback | Electronics | Maharashtra | Social,Maharashtra,Nagpur,Tablet,87917,1309,73,39065.23
DSH0066,2026-03-05,Google Ads,IN_GO_1043,New Year | Grocery | Rajasthan | Video,Rajasthan,Udaipur,Mobile,122910,4915,155,209995.99
DSH0067,2026-03-12,Google Ads,IN_GO_1066,Republic Day | Grocery | Rajasthan | Video,Rajasthan,Jaipur,Desktop,231249,12584,779,327405.91
DSH0068,2026-02-22,Google Ads,IN_GO_1027,Republic Day | Beauty | Tamil Nadu | Display,Tamil Nadu,Madurai,Mobile,85007,2797,235,60644.04
DSH0069,2026-03-31,DV360,IN_DV_1071,Festive Cashback | EdTech | Karnataka | Social,Karnataka,Bengaluru,Desktop,18584,614,9,27432.7
DSH0070,2026-01-16,DV360,IN_DV_1062,Wedding Season | Travel | Karnataka | Video,Karnataka,Mysuru,Desktop,138789,2490,132,48352.86
DSH0071,2026-03-18,LinkedIn Ads,IN_LI_1035,IPL Promo | EdTech | Telangana | Display,Telangana,Hyderabad,Tablet,230102,1409,95,53901.65
DSH0072,2026-03-30,YouTube Ads,IN_EXTRA_2014,Monsoon Deals | Electronics | Karnataka | Social | Extra in Dashboard,Karnataka,Mangaluru,Mobile,77917,1157,64,20085.33
DSH0073,2026-03-31,Meta Ads,IN_ME_1061,Summer Savings | EdTech | Kerala | Display,Kerala,Thiruvananthapuram,Desktop,199871,10145,398,451647.09
DSH0074,2026-03-25,Meta Ads,IN_ME_1057,Monsoon Deals | Beauty | Rajasthan | Programmatic,Rajasthan,Jaipur,Mobile,41138,1307,59,43760.21
DSH0075,2026-02-22,Meta Ads,,IPL Promo | Grocery | Karnataka | Programmatic,Karnataka,Hubballi,Tablet,238285,5266,333,135048.29
DSH0076,2026-02-10,DV360,,Festive Cashback | Electronics | Uttar Pradesh | Social,Uttar Pradesh,Lucknow,Mobile,128763,6945,488,227181.16
DSH0077,2026-01-13,DV360,IN_DV_1038,IPL Promo | Electronics | Telangana | Search,Telangana,Karimnagar,Mobile,107879,2681,52,69174.08
DSH0078,2026-03-14,Meta Ads,IN_ME_1075,Holi Offer | Beauty | Telangana | Display,Telangana,Hyderabad,Desktop,52517,912,55,20585.82
DSH0079,2026-03-27,Google Ads,IN_GO_1076,Back to College | Fashion | Rajasthan | Search,Rajasthan,Udaipur,Desktop,93421,3485,149,48368.58
DSH0080,2026-02-08,Meta Ads,,Holi Offer | Fashion | West Bengal | Display,West Bengal,Howrah,Tablet,198311,4058,357,125053.51
DSH0081,2026-02-06,Google Ads,IN_GO_1078,Diwali Sale | Beauty | Kerala | Display,Kerala,Kozhikode,Mobile,225221,5239,315,153329.73
DSH0082,2026-03-28,Meta Ads,IN_ME_1047,IPL Promo | EdTech | Karnataka | Display,Karnataka,Bengaluru,Tablet,206983,2574,212,43909.46
DSH0083,2026-02-23,Meta Ads,IN_ME_1033,Back to College | Grocery | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,231187,12083,1055,190287.56
DSH0084,2026-02-13,Google Ads,IN_GO_1047,Monsoon Deals | EdTech | Rajasthan | Social,Rajasthan,Jaipur,Tablet,38672,1730,15,44578.21
DSH0085,2026-02-28,YouTube Ads,IN_YO_1080,Republic Day | Electronics | Delhi NCR | Social,Delhi NCR,Faridabad,Mobile,246796,12886,449,371354.05
DSH0086,2026-03-24,Google Ads,IN_GO_1006,IPL Promo | Travel | Rajasthan | Display,Rajasthan,Jodhpur,Mobile,24754,517,25,3894.8
DSH0087,2026-03-10,Meta Ads,IN_ME_1020,Republic Day | Travel | West Bengal | Programmatic,West Bengal,Howrah,Tablet,247105,6506,104,154894.21
DSH0088,2026-03-27,Google Ads,IN_GO_1008,Back to College | Home Appliances | Karnataka | Programmatic,Karnataka,Mangaluru,Tablet,235409,5877,298,256081.75
DSH0089,2026-01-08,DV360,IN_DV_1028,Holi Offer | EdTech | Delhi NCR | Display,Delhi NCR,Gurugram,Tablet,183218,6840,599,38297.22
DSH0090,2026-02-12,Meta Ads,IN_ME_1028,Summer Savings | Electronics | Telangana | Programmatic,Telangana,Karimnagar,Tablet,228136,11090,387,106724.6
DSH0091,2026-03-18,Google Ads,IN_GO_1004,Monsoon Deals | Beauty | Delhi NCR | Video,Delhi NCR,Gurugram,Mobile,49551,333,24,4453.6
DSH0092,2026-02-12,Google Ads,IN_GO_1009,Diwali Sale | Fashion | Telangana | Display,Telangana,Warangal,Tablet,139845,3910,147,110016.22
DSH0093,2026-02-27,LinkedIn Ads,IN_LI_1004,Diwali Sale | Travel | Tamil Nadu | Programmatic,Tamil Nadu,Madurai,Desktop,30945,1699,131,36002.41
DSH0094,2026-01-14,DV360,IN_DV_1017,Holi Offer | Grocery | Rajasthan | Programmatic,Rajasthan,Jaipur,Mobile,87093,3186,178,105311.13
DSH0095,2026-02-18,LinkedIn Ads,IN_LI_1015,Wedding Season | Beauty | Uttar Pradesh | Programmatic,Uttar Pradesh,Varanasi,Mobile,238554,9084,726,239639.66
DSH0096,2026-01-28,DV360,IN_DV_1013,New Year | Grocery | Rajasthan | Display,Rajasthan,Jaipur,Desktop,96932,2608,163,49639.35
DSH0097,2026-01-20,DV360,IN_DV_1048,Holi Offer | Electronics | Karnataka | Display,Karnataka,Bengaluru,Tablet,227800,2819,36,121780.58
DSH0098,2026-03-13,YouTube Ads,IN_YO_1077,Republic Day | EdTech | Karnataka | Display,Karnataka,Hubballi,Desktop,96906,2251,124,27751.81
DSH0099,2026-03-26,DV360,IN_DV_1036,Republic Day | EdTech | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,165496,2826,122,75680.5
DSH0100,2026-03-22,LinkedIn Ads,IN_LI_1035,Festive Cashback | Travel | Uttar Pradesh | Video,Uttar Pradesh,Lucknow,Mobile,199208,8637,721,156048.76
DSH0101,2026-01-24,Meta Ads,IN_ME_1068,New Year | Electronics | Kerala | Social,Kerala,Kozhikode,Mobile,71395,1744,78,17496.65
DSH0102,2026-02-09,YouTube Ads,IN_YO_1007,Holi Offer | Electronics | Kerala | Social,Kerala,Kozhikode,Tablet,191676,1916,84,40421.11
DSH0103,2026-03-19,DV360,IN_DV_1056,Summer Savings | EdTech | West Bengal | Programmatic,West Bengal,Howrah,Desktop,44069,876,55,20757.05
DSH0104,2026-03-28,YouTube Ads,IN_YO_1039,New Year | Beauty | Maharashtra | Search,Maharashtra,Pune,Mobile,70373,3068,216,47590.99
DSH0105,2026-01-16,Google Ads,IN_GO_1030,New Year | Fashion | Rajasthan | Social,Rajasthan,Jodhpur,Tablet,146140,4877,306,88751.34
DSH0106,2026-02-20,Google Ads,IN_GO_1052,Wedding Season | Electronics | West Bengal | Video,West Bengal,Kolkata,Tablet,200990,7510,238,152519.39
DSH0107,2026-02-11,Meta Ads,IN_ME_1056,Republic Day | Electronics | Kerala | Display,Kerala,Thiruvananthapuram,Mobile,169369,4339,62,171940.53
DSH0108,2026-02-13,Meta Ads,IN_ME_1045,Holi Offer | Beauty | Gujarat | Search,Gujarat,Surat,Desktop,205678,10891,663,104870.84
DSH0109,2026-01-14,Meta Ads,IN_ME_1064,Monsoon Deals | Beauty | Delhi NCR | Social,Delhi NCR,Gurugram,Mobile,136622,5870,412,129900.57
DSH0110,2026-03-14,LinkedIn Ads,IN_LI_1039,Monsoon Deals | Home Appliances | Gujarat | Search,Gujarat,Vadodara,Desktop,223753,4354,54,106910.21
DSH0111,2026-02-10,DV360,IN_DV_1012,Diwali Sale | Grocery | Rajasthan | Video,Rajasthan,Jaipur,Tablet,174457,6372,244,179193.18
DSH0112,2026-01-06,DV360,IN_DV_1020,Summer Savings | Grocery | Kerala | Programmatic,Kerala,Kozhikode,Tablet,31219,876,65,33508.01
DSH0113,2026-01-12,LinkedIn Ads,IN_LI_1067,Summer Savings | Travel | Telangana | Display,Telangana,Hyderabad,Tablet,174856,2409,92,36713.36
DSH0114,2026-02-22,YouTube Ads,IN_YO_1050,Republic Day | Electronics | Kerala | Video,Kerala,Kochi,Tablet,91276,1608,127,69278.63
DSH0115,2026-03-19,Meta Ads,IN_ME_1051,Festive Cashback | Travel | Gujarat | Social,Gujarat,Ahmedabad,Desktop,48803,1715,145,28036.22
DSH0116,2026-02-18,YouTube Ads,IN_YO_1047,Back to College | Electronics | Telangana | Display,Telangana,Karimnagar,Mobile,95967,1423,36,60944.58
DSH0117,2026-03-04,Meta Ads,IN_ME_1070,Monsoon Deals | Electronics | Tamil Nadu | Video,Tamil Nadu,Chennai,Tablet,233921,9869,505,305643.56
DSH0118,2026-03-21,Meta Ads,IN_ME_1057,Monsoon Deals | Fashion | Kerala | Social,Kerala,Thiruvananthapuram,Tablet,26982,677,43,9691.53
DSH0119,2026-02-26,LinkedIn Ads,IN_LI_1025,Summer Savings | Beauty | Delhi NCR | Social,Delhi NCR,Faridabad,Desktop,111427,4372,239,95243.11
DSH0120,2026-02-06,DV360,IN_DV_1007,Monsoon Deals | EdTech | Uttar Pradesh | Social,Uttar Pradesh,Agra,Desktop,183081,5409,207,228655.64
DSH0121,2026-03-08,Google Ads,IN_GO_1012,Monsoon Deals | Grocery | Delhi NCR | Display,Delhi NCR,New Delhi,Desktop,73205,3368,271,141841.92
DSH0122,2026-02-23,Google Ads,IN_GO_1029,Republic Day | Fashion | West Bengal | Display,West Bengal,Durgapur,Desktop,22389,483,7,16016.39
DSH0123,2026-02-12,Meta Ads,IN_ME_1061,IPL Promo | EdTech | Telangana | Display,Telangana,Hyderabad,Tablet,132598,4793,394,20555.55
DSH0124,2026-01-28,Meta Ads,IN_ME_1016,Holi Offer | EdTech | Uttar Pradesh | Video,Uttar Pradesh,Agra,Desktop,27517,486,29,14262.47
DSH0125,2026-01-09,Google Ads,IN_GO_1019,Back to College | Electronics | Rajasthan | Programmatic,Rajasthan,Jodhpur,Tablet,91355,2469,144,33290.55
DSH0126,2026-02-23,Meta Ads,IN_ME_1061,Holi Offer | Beauty | Karnataka | Programmatic,Karnataka,Mangaluru,Desktop,26412,981,86,13759.98
DSH0127,2026-01-03,YouTube Ads,IN_YO_1006,Summer Savings | Travel | Karnataka | Search,Karnataka,Mangaluru,Mobile,109500,3621,262,38989.57
DSH0128,2026-03-29,DV360,IN_DV_1059,Monsoon Deals | EdTech | Rajasthan | Social,Rajasthan,Jodhpur,Tablet,24695,503,5,5924.33
DSH0129,2026-03-27,Google Ads,IN_GO_1008,Back to College | Home Appliances | Karnataka | Programmatic,Karnataka,Mangaluru,Tablet,235409,5877,298,256081.75
DSH0130,2026-02-12,YouTube Ads,IN_YO_1024,New Year | Home Appliances | Karnataka | Display,Karnataka,Mangaluru,Desktop,145076,5790,220,211842.04
DSH0131,2026-02-04,Google Ads,IN_GO_1014,New Year | Beauty | West Bengal | Social,West Bengal,Kolkata,Desktop,35989,794,25,17472.37
DSH0132,2026-02-24,Meta Ads,IN_ME_1008,Wedding Season | Electronics | Rajasthan | Video,Rajasthan,Udaipur,Desktop,34671,1348,55,33421.06
DSH0133,2026-03-28,Meta Ads,IN_ME_1009,Festive Cashback | Travel | Maharashtra | Display,Maharashtra,Pune,Mobile,76864,3393,129,65785.04
DSH0134,2026-03-14,Google Ads,IN_GO_1074,Wedding Season | Grocery | Kerala | Video,Kerala,Kochi,Mobile,51095,1632,66,49705.45
DSH0135,2026-02-01,Google Ads,IN_GO_1034,Wedding Season | Beauty | Maharashtra | Display,Maharashtra,Pune,Desktop,199559,5561,498,85369.36
DSH0136,2026-03-04,Meta Ads,IN_ME_1041,Holi Offer | Home Appliances | Karnataka | Social,Karnataka,Mysuru,Mobile,190070,4376,58,113776.49
DSH0137,2026-02-08,Meta Ads,IN_ME_1031,Back to College | Fashion | Telangana | Search,Telangana,Warangal,Mobile,222191,6711,252,182871.48
DSH0138,2026-03-01,LinkedIn Ads,IN_LI_1062,Holi Offer | Electronics | Telangana | Video,Telangana,Karimnagar,Tablet,152807,3992,165,109214.62
DSH0139,2026-01-18,YouTube Ads,IN_YO_1071,Wedding Season | Travel | Karnataka | Programmatic,Karnataka,Hubballi,Mobile,182718,6358,451,56299.25
DSH0140,2026-03-06,Google Ads,IN_GO_1029,IPL Promo | Fashion | Karnataka | Social,Karnataka,Mysuru,Tablet,105707,5541,280,84710.84
DSH0141,2026-01-11,YouTube Ads,IN_YO_1069,Back to College | Grocery | Tamil Nadu | Social,Tamil Nadu,Madurai,Tablet,39491,1209,26,51475.22
DSH0142,2026-01-20,Meta Ads,IN_ME_1011,Festive Cashback | Grocery | Kerala | Programmatic,Kerala,Kozhikode,Mobile,26917,1412,100,20450.31
DSH0143,2026-01-27,LinkedIn Ads,IN_LI_1039,Diwali Sale | Home Appliances | West Bengal | Programmatic,West Bengal,Durgapur,Tablet,144433,2573,189,50821.86
DSH0144,2026-03-01,Google Ads,IN_GO_1044,Wedding Season | Home Appliances | Maharashtra | Display,Maharashtra,Pune,Mobile,174032,2269,178,38009.45
DSH0145,2026-02-14,DV360,IN_DV_1060,Back to College | Beauty | Telangana | Search,Telangana,Warangal,Mobile,47118,900,25,6765.92
DSH0146,2026-02-07,DV360,IN_DV_1041,Summer Savings | EdTech | Kerala | Social,Kerala,Thiruvananthapuram,Tablet,64763,2810,137,69859.64
DSH0147,2026-03-05,YouTube Ads,IN_YO_1028,Holi Offer | Home Appliances | Rajasthan | Programmatic,Rajasthan,Jaipur,Mobile,167920,3911,47,94013.05
DSH0148,2026-01-03,YouTube Ads,IN_YO_1033,IPL Promo | Fashion | Gujarat | Programmatic,Gujarat,Vadodara,Mobile,245339,6126,551,273219.64
DSH0149,2026-03-13,Meta Ads,,Holi Offer | Home Appliances | Gujarat | Programmatic,Gujarat,Vadodara,Tablet,231350,12600,803,106226.28
DSH0150,2026-01-13,DV360,IN_DV_1066,Back to College | Grocery | Gujarat | Social,Gujarat,Vadodara,Tablet,120221,3667,42,33688.76
DSH0151,2026-02-12,DV360,IN_DV_1079,Monsoon Deals | Beauty | Uttar Pradesh | Programmatic,Uttar Pradesh,Agra,Desktop,98500,1375,122,46999.91
DSH0152,2026-02-09,LinkedIn Ads,,Festive Cashback | Grocery | Gujarat | Display,Gujarat,Rajkot,Desktop,191634,2178,91,35433.08
DSH0153,2026-03-30,Google Ads,IN_GO_1007,IPL Promo | Travel | Kerala | Programmatic,Kerala,Thiruvananthapuram,Tablet,167967,4962,252,165875.13
DSH0154,2026-02-18,Meta Ads,IN_ME_1057,Festive Cashback | Travel | Tamil Nadu | Search,Tamil Nadu,Chennai,Mobile,97232,2578,107,30836.76
DSH0155,2026-03-06,LinkedIn Ads,IN_LI_1042,Diwali Sale | Travel | Rajasthan | Social,Rajasthan,Jodhpur,Tablet,188598,5552,215,239859.99
DSH0156,2026-02-28,LinkedIn Ads,IN_LI_1036,IPL Promo | Beauty | Gujarat | Display,Gujarat,Vadodara,Mobile,161299,3327,283,147265.67
DSH0157,2026-02-06,Meta Ads,IN_ME_1016,Wedding Season | Grocery | Rajasthan | Programmatic,Rajasthan,Udaipur,Desktop,165333,6473,253,285955.54
DSH0158,2026-01-17,Meta Ads,IN_EXTRA_2018,Monsoon Deals | Fashion | Tamil Nadu | Social | Extra in Dashboard,Tamil Nadu,Coimbatore,Mobile,20302,403,22,3365.72
DSH0159,2026-03-13,YouTube Ads,IN_YO_1007,Festive Cashback | Travel | Telangana | Programmatic,Telangana,Hyderabad,Mobile,190592,9597,254,126322.6
DSH0160,2026-01-13,DV360,IN_DV_1021,Holi Offer | Travel | Gujarat | Social,Gujarat,Rajkot,Tablet,121668,4622,370,107422.38
DSH0161,2026-03-25,Meta Ads,IN_ME_1074,IPL Promo | Travel | Delhi NCR | Search,Delhi NCR,Noida,Tablet,75875,2444,164,103556.63
DSH0162,2026-01-23,DV360,IN_DV_1038,New Year | EdTech | Telangana | Display,Telangana,Hyderabad,Tablet,244832,1918,62,54692.72
DSH0163,2026-02-12,YouTube Ads,IN_YO_1060,Back to College | Beauty | Rajasthan | Display,Rajasthan,Jodhpur,Tablet,86522,1336,23,13685.33
DSH0164,2026-02-28,YouTube Ads,,Republic Day | EdTech | Telangana | Video,Telangana,Hyderabad,Mobile,239433,8930,368,189759.69
DSH0165,2026-02-11,Google Ads,IN_GO_1032,Holi Offer | Fashion | West Bengal | Social,West Bengal,Durgapur,Desktop,16790,315,8,10955.98
DSH0166,2026-02-12,YouTube Ads,IN_YO_1031,Festive Cashback | Electronics | Kerala | Video,Kerala,Kozhikode,Tablet,31285,1211,55,12265.31
DSH0167,2026-03-29,LinkedIn Ads,IN_LI_1018,IPL Promo | Grocery | Delhi NCR | Programmatic,Delhi NCR,New Delhi,Mobile,140352,1895,131,54269.33
DSH0168,2026-02-23,LinkedIn Ads,IN_LI_1058,Summer Savings | EdTech | Rajasthan | Social,Rajasthan,Jodhpur,Tablet,156526,6087,89,162168.06
DSH0169,2026-01-08,LinkedIn Ads,IN_LI_1067,Festive Cashback | Beauty | Uttar Pradesh | Social,Uttar Pradesh,Kanpur,Desktop,130825,1530,38,42381.96
