mapping_row_id,campaign_id,campaign_name,normalized_campaign_name,business_unit,marketing_channel,funnel_stage,region,state,account_manager,mapping_status,mapping_comment
MAP0001,IN_GO_1070,Summer Savings | Fashion | Maharashtra | Social,summer_savings_fashion_maharashtra_social,Fashion,Social,Awareness,India,Maharashtra,Ananya Singh,Mapped,Standard mapping applied
MAP0046,IN_ME_1033,Republic Day | EdTech | Rajasthan | Display,republic_day_edtech_rajasthan_display,EdTech,Display,Conversion,India,Rajasthan,Karthik Rao,Mapped,Standard mapping applied
MAP0047,IN_ME_1020,Diwali Sale | Fashion | Karnataka | Social,diwali_sale_fashion_karnataka_social,Fashion,Social,Retention,India,Karnataka,Aarav Sharma,Mapped,Standard mapping applied
MAP0048,IN_DV_1040,Monsoon Deals | Beauty | Delhi NCR | Programmatic,monsoon_deals_beauty_delhi_ncr_programmatic,Beauty,Programmatic,Consideration,India,Delhi NCR,Sanjay Verma,Mapped,Standard mapping applied
MAP0049,IN_DV_1039,Festive Cashback | Travel | Tamil Nadu | Social,festive_cashback_travel_tamil_nadu_social,Travel,Social,Conversion,India,Tamil Nadu,Rohan Patel,Mapped,Standard mapping applied
MAP0050,IN_GO_1054,Republic Day | Electronics | Gujarat | Programmatic,republic_day_electronics_gujarat_programmatic,Electronics,Programmatic,Retention,India,Gujarat,Rohan Patel,Mapped,Standard mapping applied
MAP0051,IN_ME_1056,Back to College | Travel | West Bengal | Video,back_to_college_travel_west_bengal_video,Travel,Video,Retention,India,West Bengal,Meera Nair,Mapped,Standard mapping applied
MAP0052,IN_YO_1004,Wedding Season | Beauty | Rajasthan | Programmatic,wedding_season_beauty_rajasthan_programmatic,Beauty,Programmatic,Awareness,India,Rajasthan,Divya Menon,Mapped,Standard mapping applied
MAP0053,IN_YO_1031,Back to College | Electronics | Delhi NCR | Programmatic,back_to_college_electronics_delhi_ncr_programmatic,Electronics,Programmatic,Retention,India,Delhi NCR,Sanjay Verma,Mapped,Standard mapping applied
MAP0054,IN_DV_1032,Holi Offer | Grocery | Rajasthan | Social,holi_offer_grocery_rajasthan_social,Grocery,Social,Retention,India,Rajasthan,Meera Nair,Mapped,Standard mapping applied
MAP0055,IN_DV_1033,Republic Day | Travel | Uttar Pradesh | Display,republic_day_travel_uttar_pradesh_display,Travel,Display,Consideration,India,Uttar Pradesh,Sanjay Verma,Mapped,Standard mapping applied
MAP0056,IN_ME_1025,Wedding Season | Grocery | Tamil Nadu | Programmatic,wedding_season_grocery_tamil_nadu_programmatic,Grocery,Programmatic,Retention,India,Tamil Nadu,Vikram Iyer,Mapped,Standard mapping applied
MAP0057,IN_ME_1063,Diwali Sale | Beauty | Delhi NCR | Video,diwali_sale_beauty_delhi_ncr_video,,,Retention,India,Delhi NCR,Divya Menon,Missing Mapping,Business unit/channel not mapped
MAP0058,IN_YO_1052,IPL Promo | EdTech | Telangana | Display,ipl_promo_edtech_telangana_display,EdTech,Display,Conversion,India,Telangana,Vikram Iyer,Mapped,Standard mapping applied
MAP0059,IN_LI_1077,Summer Savings | Electronics | Delhi NCR | Programmatic,summer_savings_electronics_delhi_ncr_programmatic,Electronics,Programmatic,Awareness,India,Delhi NCR,Aarav Sharma,Mapped,Standard mapping applied
MAP0060,IN_YO_1013,IPL Promo | Beauty | Kerala | Programmatic,ipl_promo_beauty_kerala_programmatic,Beauty,Programmatic,Awareness,India,Kerala,Rohan Patel,Mapped,Standard mapping applied
MAP0061,IN_ME_1077,Holi Offer | Fashion | Telangana | Search,holi_offer_fashion_telangana_search,Fashion,Search,Conversion,India,Telangana,Neha Gupta,Mapped,Standard mapping applied
MAP0062,IN_DV_1015,IPL Promo | EdTech | Karnataka | Programmatic,ipl_promo_edtech_karnataka_programmatic,EdTech,Programmatic,Awareness,India,Karnataka,Neha Gupta,Mapped,Standard mapping applied
MAP0063,IN_GO_1016,IPL Promo | Beauty | Maharashtra | Programmatic,ipl_promo_beauty_maharashtra_programmatic,Beauty,Programmatic,Awareness,India,Maharashtra,Karthik Rao,Mapped,Standard mapping applied
MAP0064,IN_LI_1042,Holi Offer | Beauty | Rajasthan | Search,holi_offer_beauty_rajasthan_search,Beauty,Search,Conversion,India,Rajasthan,Karthik Rao,Mapped,Standard mapping applied
MAP0065,IN_LI_1057,Festive Cashback | Electronics | Maharashtra | Social,festive_cashback_electronics_maharashtra_social,Electronics,Social,Awareness,India,Maharashtra,Ananya Singh,Mapped,Standard mapping applied
MAP0066,IN_GO_1043,New Year | Grocery | Rajasthan | Video,new_year_grocery_rajasthan_video,,,Consideration,India,Rajasthan,Vikram Iyer,Missing Mapping,Business unit/channel not mapped
MAP0067,IN_GO_1066,Republic Day | Grocery | Rajasthan | Video,republic_day_grocery_rajasthan_video,Grocery,Video,Awareness,India,Rajasthan,Priya Reddy,Mapped,Standard mapping applied
MAP0068,IN_GO_1027,Republic Day | Beauty | Tamil Nadu | Display,republic_day_beauty_tamil_nadu_display,Beauty,Display,Conversion,India,Tamil Nadu,Priya Reddy,Mapped,Standard mapping applied
MAP0069,IN_DV_1071,Festive Cashback | EdTech | Karnataka | Social,festive_cashback_edtech_karnataka_social,EdTech,Social,Consideration,India,Karnataka,Aarav Sharma,Mapped,Standard mapping applied
MAP0070,IN_DV_1062,Wedding Season | Travel | Karnataka | Video,wedding_season_travel_karnataka_video,Travel,Video,Conversion,India,Karnataka,Aarav Sharma,Mapped,Standard mapping applied
MAP0071,IN_LI_1035,IPL Promo | EdTech | Telangana | Display,ipl_promo_edtech_telangana_display,EdTech,Display,Retention,India,Telangana,Divya Menon,Mapped,Standard mapping applied
MAP0072,IN_DV_1070,Back to College | Home Appliances | Telangana | Video,back_to_college_home_appliances_telangana_video,Home Appliances,Video,Retention,India,Telangana,Vikram Iyer,Mapped,Standard mapping applied
MAP0073,IN_ME_1061,Summer Savings | EdTech | Kerala | Display,summer_savings_edtech_kerala_display,EdTech,Display,Retention,India,Kerala,Divya Menon,Mapped,Standard mapping applied
MAP0074,IN_ME_1057,Monsoon Deals | Beauty | Rajasthan | Programmatic,monsoon_deals_beauty_rajasthan_programmatic,Beauty,Programmatic,Conversion,India,Rajasthan,Karthik Rao,Mapped,Standard mapping applied
MAP0075,IN_ME_1011,IPL Promo | Grocery | Karnataka | Programmatic,ipl_promo_grocery_karnataka_programmatic,Grocery,Programmatic,Retention,India,Karnataka,Neha Gupta,Mapped,Standard mapping applied
MAP0076,IN_DV_1012,Festive Cashback | Electronics | Uttar Pradesh | Social,festive_cashback_electronics_uttar_pradesh_social,Electronics,Social,Awareness,India,Uttar Pradesh,Meera Nair,Mapped,Standard mapping applied
MAP0077,IN_DV_1038,IPL Promo | Electronics | Telangana | Search,ipl_promo_electronics_telangana_search,Electronics,Search,Consideration,India,Telangana,Neha Gupta,Mapped,Standard mapping applied
MAP0078,IN_ME_1075,Holi Offer | Beauty | Telangana | Display,holi_offer_beauty_telangana_display,Beauty,Display,Conversion,India,Telangana,Rohan Patel,Mapped,Standard mapping applied
MAP0079,IN_GO_1076,Back to College | Fashion | Rajasthan | Search,back_to_college_fashion_rajasthan_search,Fashion,Search,Conversion,India,Rajasthan,Neha Gupta,Mapped,Standard mapping applied
MAP0080,IN_ME_1038,Holi Offer | Fashion | West Bengal | Display,holi_offer_fashion_west_bengal_display,Fashion,Display,Retention,India,West Bengal,Ananya Singh,Mapped,Standard mapping applied
MAP0081,IN_GO_1078,Diwali Sale | Beauty | Kerala | Display,diwali_sale_beauty_kerala_display,Beauty,Display,Awareness,India,Kerala,Sanjay Verma,Mapped,Standard mapping applied
MAP0082,IN_ME_1047,IPL Promo | EdTech | Karnataka | Display,ipl_promo_edtech_karnataka_display,EdTech,Display,Conversion,India,Karnataka,Vikram Iyer,Mapped,Standard mapping applied
MAP0083,IN_ME_1033,Back to College | Grocery | Tamil Nadu | Programmatic,back_to_college_grocery_tamil_nadu_programmatic,Grocery,Programmatic,Conversion,India,Tamil Nadu,Divya Menon,Mapped,Standard mapping applied
MAP0084,IN_GO_1047,Monsoon Deals | EdTech | Rajasthan | Social,monsoon_deals_edtech_rajasthan_social,EdTech,Social,Consideration,India,Rajasthan,Divya Menon,Mapped,Standard mapping applied
MAP0085,IN_YO_1080,Republic Day | Electronics | Delhi NCR | Social,republic_day_electronics_delhi_ncr_social,Electronics,Social,Awareness,India,Delhi NCR,Divya Menon,Mapped,Standard mapping applied
MAP0086,IN_GO_1006,IPL Promo | Travel | Rajasthan | Display,ipl_promo_travel_rajasthan_display,Travel,Display,Conversion,India,Rajasthan,Vikram Iyer,Mapped,Standard mapping applied
MAP0087,IN_ME_1020,Republic Day | Travel | West Bengal | Programmatic,republic_day_travel_west_bengal_programmatic,Travel,Programmatic,Retention,India,West Bengal,Karthik Rao,Mapped,Standard mapping applied
MAP0088,IN_YO_1013,Summer Savings | Home Appliances | Maharashtra | Display,summer_savings_home_appliances_maharashtra_display,,,Conversion,India,Maharashtra,Priya Reddy,Missing Mapping,Business unit/channel not mapped
MAP0089,IN_DV_1028,Holi Offer | EdTech | Delhi NCR | Display,holi_offer_edtech_delhi_ncr_display,EdTech,Display,Conversion,India,Delhi NCR,Sanjay Verma,Mapped,Standard mapping applied
MAP0090,IN_ME_1028,Summer Savings | Electronics | Telangana | Programmatic,summer_savings_electronics_telangana_programmatic,,,Conversion,India,Telangana,Karthik Rao,Missing Mapping,Business unit/channel not mapped
MAP0091,IN_GO_1004,Monsoon Deals | Beauty | Delhi NCR | Video,monsoon_deals_beauty_delhi_ncr_video,Beauty,Video,Conversion,India,Delhi NCR,Ananya Singh,Mapped,Standard mapping applied
MAP0092,IN_GO_1009,Diwali Sale | Fashion | Telangana | Display,diwali_sale_fashion_telangana_display,Fashion,Display,Retention,India,Telangana,Vikram Iyer,Mapped,Standard mapping applied
MAP0093,IN_LI_1004,Diwali Sale | Travel | Tamil Nadu | Programmatic,diwali_sale_travel_tamil_nadu_programmatic,Travel,Programmatic,Retention,India,Tamil Nadu,Sanjay Verma,Mapped,Standard mapping applied
MAP0094,IN_DV_1017,Holi Offer | Grocery | Rajasthan | Programmatic,holi_offer_grocery_rajasthan_programmatic,Grocery,Programmatic,Awareness,India,Rajasthan,Sanjay Verma,Mapped,Standard mapping applied
MAP0095,IN_LI_1015,Wedding Season | Beauty | Uttar Pradesh | Programmatic,wedding_season_beauty_uttar_pradesh_programmatic,Beauty,Programmatic,Consideration,India,Uttar Pradesh,Divya Menon,Mapped,Standard mapping applied
MAP0096,IN_DV_1013,New Year | Grocery | Rajasthan | Display,new_year_grocery_rajasthan_display,Grocery,Display,Consideration,India,Rajasthan,Meera Nair,Mapped,Standard mapping applied
MAP0097,IN_DV_1048,Holi Offer | Electronics | Karnataka | Display,holi_offer_electronics_karnataka_display,Electronics,Display,Retention,India,Karnataka,Divya Menon,Mapped,Standard mapping applied
MAP0098,IN_YO_1077,Republic Day | EdTech | Karnataka | Display,republic_day_edtech_karnataka_display,EdTech,Display,Awareness,India,Karnataka,Sanjay Verma,Mapped,Standard mapping applied
MAP0099,IN_DV_1036,Republic Day | EdTech | Tamil Nadu | Programmatic,republic_day_edtech_tamil_nadu_programmatic,,,Conversion,India,Tamil Nadu,Meera Nair,Missing Mapping,Business unit/channel not mapped
MAP0100,IN_LI_1035,Festive Cashback | Travel | Uttar Pradesh | Video,festive_cashback_travel_uttar_pradesh_video,,,Consideration,India,Uttar Pradesh,Rohan Patel,Missing Mapping,Business unit/channel not mapped
MAP0101,IN_ME_1068,New Year | Electronics | Kerala | Social,new_year_electronics_kerala_social,,,Conversion,India,Kerala,Karthik Rao,Missing Mapping,Business unit/channel not mapped
MAP0102,IN_YO_1007,Holi Offer | Electronics | Kerala | Social,holi_offer_electronics_kerala_social,Electronics,Social,Conversion,India,Kerala,Priya Reddy,Mapped,Standard mapping applied
MAP0103,IN_DV_1056,Summer Savings | EdTech | West Bengal | Programmatic,summer_savings_edtech_west_bengal_programmatic,EdTech,Programmatic,Consideration,India,West Bengal,Karthik Rao,Mapped,Standard mapping applied
MAP0104,IN_YO_1039,New Year | Beauty | Maharashtra | Search,new_year_beauty_maharashtra_search,Beauty,Search,Conversion,India,Maharashtra,Rohan Patel,Mapped,Standard mapping applied
MAP0105,IN_GO_1030,New Year | Fashion | Rajasthan | Social,new_year_fashion_rajasthan_social,Fashion,Social,Consideration,India,Rajasthan,Karthik Rao,Mapped,Standard mapping applied
MAP0106,IN_GO_1052,Wedding Season | Electronics | West Bengal | Video,wedding_season_electronics_west_bengal_video,Electronics,Video,Awareness,India,West Bengal,Rohan Patel,Mapped,Standard mapping applied
MAP0107,IN_ME_1056,Republic Day | Electronics | Kerala | Display,republic_day_electronics_kerala_display,Electronics,Display,Awareness,India,Kerala,Ananya Singh,Mapped,Standard mapping applied
MAP0108,IN_ME_1045,Holi Offer | Beauty | Gujarat | Search,holi_offer_beauty_gujarat_search,Beauty,Search,Conversion,India,Gujarat,Meera Nair,Mapped,Standard mapping applied
MAP0109,IN_ME_1064,Monsoon Deals | Beauty | Delhi NCR | Social,monsoon_deals_beauty_delhi_ncr_social,Beauty,Social,Retention,India,Delhi NCR,Karthik Rao,Mapped,Standard mapping applied
MAP0110,IN_LI_1039,Monsoon Deals | Home Appliances | Gujarat | Search,monsoon_deals_home_appliances_gujarat_search,Home Appliances,Search,Awareness,India,Gujarat,Ananya Singh,Mapped,Standard mapping applied
MAP0111,IN_DV_1012,Diwali Sale | Grocery | Rajasthan | Video,diwali_sale_grocery_rajasthan_video,Grocery,Video,Conversion,India,Rajasthan,Rohan Patel,Mapped,Standard mapping applied
MAP0112,IN_DV_1020,Summer Savings | Grocery | Kerala | Programmatic,summer_savings_grocery_kerala_programmatic,Grocery,Programmatic,Conversion,India,Kerala,Vikram Iyer,Mapped,Standard mapping applied
MAP0113,IN_LI_1067,Summer Savings | Travel | Telangana | Display,summer_savings_travel_telangana_display,Travel,Display,Consideration,India,Telangana,Aarav Sharma,Mapped,Standard mapping applied
MAP0114,IN_YO_1050,Republic Day | Electronics | Kerala | Video,republic_day_electronics_kerala_video,Electronics,Video,Retention,India,Kerala,Aarav Sharma,Mapped,Standard mapping applied
MAP0115,IN_ME_1051,Festive Cashback | Travel | Gujarat | Social,festive_cashback_travel_gujarat_social,Travel,Social,Awareness,India,Gujarat,Neha Gupta,Mapped,Standard mapping applied
MAP0116,IN_YO_1047,Back to College | Electronics | Telangana | Display,back_to_college_electronics_telangana_display,Electronics,Display,Conversion,India,Telangana,Priya Reddy,Mapped,Standard mapping applied
MAP0117,IN_ME_1070,Monsoon Deals | Electronics | Tamil Nadu | Video,monsoon_deals_electronics_tamil_nadu_video,,,Retention,India,Tamil Nadu,Neha Gupta,Missing Mapping,Business unit/channel not mapped
MAP0118,IN_ME_1057,Monsoon Deals | Fashion | Kerala | Social,monsoon_deals_fashion_kerala_social,Fashion,Social,Awareness,India,Kerala,Karthik Rao,Mapped,Standard mapping applied
MAP0119,IN_LI_1025,Summer Savings | Beauty | Delhi NCR | Social,summer_savings_beauty_delhi_ncr_social,Beauty,Social,Consideration,India,Delhi NCR,Ananya Singh,Mapped,Standard mapping applied
MAP0120,IN_DV_1007,Monsoon Deals | EdTech | Uttar Pradesh | Social,monsoon_deals_edtech_uttar_pradesh_social,EdTech,Social,Awareness,India,Uttar Pradesh,Sanjay Verma,Mapped,Standard mapping applied
MAP0121,IN_GO_1012,Monsoon Deals | Grocery | Delhi NCR | Display,monsoon_deals_grocery_delhi_ncr_display,Grocery,Display,Conversion,India,Delhi NCR,Meera Nair,Mapped,Standard mapping applied
MAP0122,IN_GO_1029,Republic Day | Fashion | West Bengal | Display,republic_day_fashion_west_bengal_display,Fashion,Display,Awareness,India,West Bengal,Ananya Singh,Mapped,Standard mapping applied
MAP0123,IN_ME_1061,IPL Promo | EdTech | Telangana | Display,ipl_promo_edtech_telangana_display,EdTech,Display,Awareness,India,Telangana,Neha Gupta,Mapped,Standard mapping applied
MAP0124,IN_ME_1016,Holi Offer | EdTech | Uttar Pradesh | Video,holi_offer_edtech_uttar_pradesh_video,EdTech,Video,Retention,India,Uttar Pradesh,Ananya Singh,Mapped,Standard mapping applied
MAP0125,IN_GO_1019,Back to College | Electronics | Rajasthan | Programmatic,back_to_college_electronics_rajasthan_programmatic,Electronics,Programmatic,Retention,India,Rajasthan,Ananya Singh,Mapped,Standard mapping applied
MAP0126,IN_ME_1061,Holi Offer | Beauty | Karnataka | Programmatic,holi_offer_beauty_karnataka_programmatic,Beauty,Programmatic,Awareness,India,Karnataka,Rohan Patel,Mapped,Standard mapping applied
MAP0127,IN_YO_1006,Summer Savings | Travel | Karnataka | Search,summer_savings_travel_karnataka_search,Travel,Search,Conversion,India,Karnataka,Meera Nair,Mapped,Standard mapping applied
MAP0128,IN_DV_1059,Monsoon Deals | EdTech | Rajasthan | Social,monsoon_deals_edtech_rajasthan_social,EdTech,Social,Conversion,India,Rajasthan,Divya Menon,Mapped,Standard mapping applied
MAP0129,IN_YO_1025,Back to College | Home Appliances | Delhi NCR | Video,back_to_college_home_appliances_delhi_ncr_video,Home Appliances,Video,Retention,India,Delhi NCR,Sanjay Verma,Mapped,Standard mapping applied
MAP0130,IN_YO_1024,New Year | Home Appliances | Karnataka | Display,new_year_home_appliances_karnataka_display,Travel,Display,Awareness,India,Karnataka,Neha Gupta,Incorrect Mapping,Campaign mapped to wrong business unit
MAP0131,IN_GO_1014,New Year | Beauty | West Bengal | Social,new_year_beauty_west_bengal_social,Beauty,Social,Retention,India,West Bengal,Meera Nair,Mapped,Standard mapping applied
MAP0132,IN_ME_1008,Wedding Season | Electronics | Rajasthan | Video,wedding_season_electronics_rajasthan_video,Electronics,Video,Consideration,India,Rajasthan,Vikram Iyer,Mapped,Standard mapping applied
MAP0133,IN_ME_1009,Festive Cashback | Travel | Maharashtra | Display,festive_cashback_travel_maharashtra_display,,,Consideration,India,Maharashtra,Neha Gupta,Missing Mapping,Business unit/channel not mapped
MAP0134,IN_GO_1074,Wedding Season | Grocery | Kerala | Video,wedding_season_grocery_kerala_video,Grocery,Video,Conversion,India,Kerala,Vikram Iyer,Mapped,Standard mapping applied
MAP0135,IN_GO_1034,Wedding Season | Beauty | Maharashtra | Display,wedding_season_beauty_maharashtra_display,Beauty,Display,Awareness,India,Maharashtra,Aarav Sharma,Mapped,Standard mapping applied
MAP0136,IN_ME_1041,Holi Offer | Home Appliances | Karnataka | Social,holi_offer_home_appliances_karnataka_social,Home Appliances,Social,Consideration,India,Karnataka,Vikram Iyer,Mapped,Standard mapping applied
